year,anomaly_C,region
2004,0.453,Tropics
2005,0.316,Tropics
2006,0.656,Tropics
2007,0.836,Tropics
2008,0.284,Tropics
2009,0.474,Tropics
2010,0.615,Tropics
2011,0.646,Tropics
2012,1.059,Tropics
2013,0.9,Tropics
2014,0.39,Tropics
1950,0.01,Southern Mid-Latitudes
1951,0.054,Southern Mid-Latitudes
1952,0.038,Southern Mid-Latitudes
1953,-0.053,Southern Mid-Latitudes
1954,0.008,Southern Mid-Latitudes
1955,-0.006,Southern Mid-Latitudes
1956,-0.1,Southern Mid-Latitudes
1957,-0.077,Southern Mid-Latitudes
1958,0.095,Southern Mid-Latitudes
1959,0.052,Southern Mid-Latitudes
1960,-0.085,Southern Mid-Latitudes
1961,-0.008,Southern Mid-Latitudes
1962,-0.085,Southern Mid-Latitudes
1963,-0.019,Southern Mid-Latitudes
1964,-0.169,Southern Mid-Latitudes
1965,-0.095,Southern Mid-Latitudes
1966,-0.193,Southern Mid-Latitudes
1967,-0.135,Southern Mid-Latitudes
1968,-0.236,Southern Mid-Latitudes
1969,-0.004,Southern Mid-Latitudes
1970,-0.062,Southern Mid-Latitudes
1971,0.065,Southern Mid-Latitudes
1972,0.058,Southern Mid-Latitudes
1973,0.108,Southern Mid-Latitudes
1974,0.105,Southern Mid-Latitudes
1975,0.162,Southern Mid-Latitudes
1976,0.165,Southern Mid-Latitudes
1977,0.115,Southern Mid-Latitudes
1978,0.087,Southern Mid-Latitudes
1979,0.088,Southern Mid-Latitudes
1980,0.125,Southern Mid-Latitudes
1981,0.144,Southern Mid-Latitudes
1982,0.136,Southern Mid-Latitudes
1983,0.233,Southern Mid-Latitudes
1984,0.125,Southern Mid-Latitudes
1985,0.06,Southern Mid-Latitudes
1986,0.17,Southern Mid-Latitudes
1987,0.221,Southern Mid-Latitudes
1988,0.201,Southern Mid-Latitudes
1989,0.309,Southern Mid-Latitudes
1990,0.317,Southern Mid-Latitudes
1991,0.383,Southern Mid-Latitudes
1992,0.279,Southern Mid-Latitudes
1993,0.289,Southern Mid-Latitudes
1994,0.3,Southern Mid-Latitudes
1995,0.373,Southern Mid-Latitudes
1996,0.408,Southern Mid-Latitudes
1997,0.424,Southern Mid-Latitudes
1998,0.409,Southern Mid-Latitudes
1999,0.443,Southern Mid-Latitudes
2000,0.539,Southern Mid-Latitudes
2001,0.432,Southern Mid-Latitudes
2002,0.504,Southern Mid-Latitudes
2003,0.476,Southern Mid-Latitudes
2004,0.538,Southern Mid-Latitudes
2005,0.579,Southern Mid-Latitudes
2006,0.606,Southern Mid-Latitudes
2007,0.528,Southern Mid-Latitudes
2008,0.575,Southern Mid-Latitudes
2009,0.589,Southern Mid-Latitudes
2010,0.466,Southern Mid-Latitudes
2011,0.49,Southern Mid-Latitudes
2012,0.563,Southern Mid-Latitudes
2013,0.605,Southern Mid-Latitudes
2014,0.615,Southern Mid-Latitudes
1950,-0.025,Antarctic
1951,-0.174,Antarctic
1952,0.121,Antarctic
1953,0.226,Antarctic
1954,-0.802,Antarctic
1955,-0.14,Antarctic
1956,-0.434,Antarctic
1957,-0.982,Antarctic
1958,0.411,Antarctic
1959,0.437,Antarctic
1960,-0.25,Antarctic
1961,-0.179,Antarctic
1962,-0.499,Antarctic
1963,-0.433,Antarctic
1964,0.368,Antarctic
1965,-0.147,Antarctic
1966,-0.873,Antarctic
1967,-0.07,Antarctic
1968,-0.363,Antarctic
1969,0.483,Antarctic
1970,-0.196,Antarctic
1971,0.869,Antarctic
1972,0.498,Antarctic
1973,0.115,Antarctic
1974,0.504,Antarctic
1975,0.285,Antarctic
1976,0.801,Antarctic
1977,0.259,Antarctic
1978,-0.795,Antarctic
1979,0.576,Antarctic
1980,0.382,Antarctic
1981,0.057,Antarctic
1982,0.735,Antarctic
1983,0.181,Antarctic
1984,0.136,Antarctic
1985,0.515,Antarctic
1986,0.339,Antarctic
1987,0.526,Antarctic
1988,0.292,Antarctic
1989,0.261,Antarctic
1990,0.364,Antarctic
1991,1.367,Antarctic
1992,0.41,Antarctic
1993,0.82,Antarctic
1994,0.365,Antarctic
1995,0.111,Antarctic
1996,0.448,Antarctic
1997,0.546,Antarctic
1998,0.906,Antarctic
1999,1.205,Antarctic
2000,1.585,Antarctic
2001,0.965,Antarctic
2002,1.047,Antarctic
2003,0.622,Antarctic
2004,0.49,Antarctic
2005,1.465,Antarctic
2006,1.495,Antarctic
2007,1.378,Antarctic
2008,1.628,Antarctic
2009,1.05,Antarctic
2010,0.491,Antarctic
2011,0.865,Antarctic
2012,1.532,Antarctic
2013,0.629,Antarctic
2014,1.093,Antarctic
