lat,lon,lst_start,lst_end,change_C
-89.95,-86.35,-25.0,-25.0,0.0
-89.95,-85.55,-25.0,-25.0,0.0
-89.95,-84.75,-25.0,-25.0,0.0
-89.95,-83.95,-25.0,-25.0,0.0
-89.95,-83.15,-25.0,-25.0,0.0
-89.95,-82.35,-25.0,-25.0,0.0
-89.95,-81.55,-25.0,-25.0,0.0
-89.95,-80.75,-25.0,-25.0,0.0
-89.95,-79.95,-25.0,-25.0,0.0
-89.95,-79.15,-25.0,-25.0,0.0
-89.95,-78.35,-25.0,-25.0,0.0
-89.95,-77.55,-25.0,-25.0,0.0
-89.95,-76.75,-25.0,-25.0,0.0
-89.95,-75.95,-25.0,-25.0,0.0
-89.95,-75.15,-25.0,-25.0,0.0
-89.95,-74.35,-25.0,-25.0,0.0
-89.95,-73.55,-25.0,-25.0,0.0
-89.95,-72.75,-25.0,-25.0,0.0
-89.95,-71.95,-25.0,-25.0,0.0
-89.95,-71.15,-25.0,-25.0,0.0
-89.95,-70.35,-25.0,-25.0,0.0
-89.95,-69.55,-25.0,-25.0,0.0
-89.95,-68.75,-25.0,-25.0,0.0
-89.95,-67.95,-25.0,-25.0,0.0
-89.95,-67.15,-25.0,-25.0,0.0
-89.95,-66.35,-25.0,-25.0,0.0
-89.95,-65.55,-25.0,-25.0,0.0
-89.95,-64.75,-25.0,-25.0,0.0
-89.95,-63.95,-25.0,-25.0,0.0
-89.95,-63.15,-25.0,-25.0,0.0
-89.95,-62.35,-25.0,-25.0,0.0
-89.95,-61.55,-25.0,-25.0,0.0
-89.95,-60.75,-25.0,-25.0,0.0
-89.95,-59.95,-25.0,-25.0,0.0
-89.95,-59.15,-25.0,-25.0,0.0
-89.95,-58.35,-25.0,-25.0,0.0
-89.95,-57.55,-25.0,-25.0,0.0
-89.95,-56.75,-25.0,-25.0,0.0
-89.95,-55.95,-25.0,-25.0,0.0
-89.95,-55.15,-25.0,-25.0,0.0
-89.95,-54.35,-25.0,-25.0,0.0
-89.95,-53.55,-25.0,-25.0,0.0
-89.95,-52.75,-25.0,-25.0,0.0
-89.95,-51.95,-25.0,-25.0,0.0
-89.95,-51.15,-25.0,-25.0,0.0
-89.95,-50.35,-25.0,-25.0,0.0
-89.95,-49.55,-25.0,-25.0,0.0
-89.95,-48.75,-25.0,-25.0,0.0
-89.95,-47.95,-25.0,-25.0,0.0
-89.95,-47.15,-25.0,-25.0,0.0
-89.95,-46.35,-25.0,-25.0,0.0
-89.95,-45.55,-25.0,-25.0,0.0
-89.95,-44.75,-25.0,-25.0,0.0
-89.95,-43.95,-25.0,-25.0,0.0
-89.95,-43.15,-25.0,-25.0,0.0
-89.95,-42.35,-25.0,-25.0,0.0
-89.95,-41.55,-25.0,-25.0,0.0
-89.95,-40.75,-25.0,-25.0,0.0
-89.95,-39.95,-25.0,-25.0,0.0
-89.95,-39.15,-25.0,-25.0,0.0
-89.95,-38.35,-25.0,-25.0,0.0
-89.95,-37.55,-25.0,-25.0,0.0
-89.95,-36.75,-25.0,-25.0,0.0
-89.95,-35.95,-25.0,-25.0,0.0
-89.95,-35.15,-25.0,-25.0,0.0
-89.95,-34.35,-25.0,-25.0,0.0
-89.95,-33.55,-25.0,-25.0,0.0
-89.95,-32.75,-25.0,-25.0,0.0
-89.95,-31.95,-25.0,-25.0,0.0
-89.95,-31.15,-25.0,-25.0,0.0
-89.95,-30.35,-25.0,-25.0,0.0
-89.95,-29.55,-25.0,-25.0,0.0
-89.95,-28.75,-25.0,-25.0,0.0
-89.95,-27.95,-25.0,-25.0,0.0
-89.95,-27.15,-25.0,-25.0,0.0
-89.95,-26.35,-25.0,-25.0,0.0
-89.95,-25.55,-25.0,-25.0,0.0
-89.95,-24.75,-25.0,-25.0,0.0
-89.95,-23.95,-25.0,-25.0,0.0
-89.95,-23.15,-25.0,-25.0,0.0
-89.95,-22.35,-25.0,-25.0,0.0
-89.95,-21.55,-25.0,-25.0,0.0
-89.95,-20.75,-25.0,-25.0,0.0
-89.95,-19.95,-25.0,-25.0,0.0
-89.95,-19.15,-25.0,-25.0,0.0
-89.95,-18.35,-25.0,-25.0,0.0
-89.95,-17.55,-25.0,-25.0,0.0
-89.95,-16.75,-25.0,-25.0,0.0
-89.95,-15.95,-25.0,-25.0,0.0
