lat,lon,lst_start,lst_end,change_C
15.35,32.05,38.11,45.0,6.890000000000001
16.15,20.85,39.49,45.0,5.509999999999998
16.15,21.65,39.49,45.0,5.509999999999998
16.15,22.45,38.66,45.0,6.340000000000003
16.15,31.25,39.76,45.0,5.240000000000002
16.15,32.05,39.76,45.0,5.240000000000002
16.15,75.25,24.61,33.43,8.82
16.15,78.45,27.09,35.08,7.989999999999998
16.15,79.25,35.63,41.42,5.789999999999999
16.95,22.45,37.56,43.9,6.339999999999996
16.95,33.65,38.66,44.17,5.510000000000005
16.95,36.05,36.18,41.42,5.240000000000002
16.95,77.65,33.7,40.04,6.339999999999996
16.95,80.05,33.15,42.52,9.370000000000005
16.95,80.85,30.12,38.94,8.819999999999997
17.75,-0.75,37.01,42.24,5.230000000000004
17.75,7.25,39.49,45.0,5.509999999999998
17.75,36.05,38.11,43.35,5.240000000000002
17.75,42.45,33.15,40.59,7.440000000000005
17.75,43.25,30.12,35.91,5.789999999999996
17.75,76.05,31.5,38.39,6.890000000000001
17.75,76.85,31.22,38.11,6.890000000000001
17.75,80.85,31.22,41.97,10.75
18.55,-95.95,27.64,33.15,5.509999999999998
18.55,-90.35,27.91,33.15,5.239999999999998
18.55,0.85,39.49,44.72,5.229999999999997
18.55,76.05,29.02,36.46,7.440000000000001
18.55,76.85,33.7,39.76,6.059999999999995
18.55,81.65,22.13,34.8,12.669999999999998
18.55,84.05,30.67,38.94,8.269999999999996
18.55,101.65,24.06,29.29,5.23
19.35,-89.55,27.91,33.98,6.069999999999997
19.35,-0.75,38.39,45.0,6.609999999999999
19.35,0.05,38.66,43.9,5.240000000000002
19.35,1.65,38.66,44.72,6.060000000000002
19.35,41.65,34.53,40.59,6.060000000000002
19.35,93.65,24.33,30.12,5.790000000000003
19.35,98.45,16.06,28.19,12.130000000000003
19.35,100.05,27.64,32.87,5.229999999999997
20.15,-98.35,25.71,32.87,7.159999999999997
20.15,-2.35,38.94,44.45,5.510000000000005
20.15,-1.55,39.76,45.0,5.240000000000002
20.15,79.25,27.91,40.04,12.129999999999999
20.95,-99.95,29.02,34.25,5.23
20.95,-99.15,25.16,32.6,7.440000000000001
20.95,-2.35,39.76,45.0,5.240000000000002
20.95,74.45,32.32,38.39,6.07
20.95,75.25,28.19,35.35,7.16
21.75,-102.35,29.02,34.8,5.779999999999998
21.75,-101.55,30.94,38.11,7.169999999999998
21.75,73.65,27.09,33.15,6.059999999999999
21.75,76.05,33.98,41.14,7.160000000000004
22.55,-101.55,32.6,42.52,9.920000000000002
22.55,-99.15,29.57,35.08,5.509999999999998
22.55,96.05,24.88,30.12,5.240000000000002
23.35,-101.55,35.35,42.52,7.170000000000002
23.35,86.45,34.25,39.76,5.509999999999998
23.35,91.25,24.88,31.77,6.890000000000001
24.15,-100.75,33.7,39.49,5.789999999999999
24.15,96.85,20.75,27.36,6.609999999999999
24.95,-104.75,31.5,37.56,6.060000000000002
24.95,96.05,25.71,30.94,5.23
24.95,100.85,23.23,29.02,5.789999999999999
24.95,102.45,20.2,27.91,7.710000000000001
24.95,104.05,19.92,26.81,6.889999999999997
25.75,-105.55,29.84,36.18,6.34
25.75,-104.75,35.91,41.97,6.060000000000002
25.75,88.85,0.08,33.15,33.07
25.75,102.45,20.75,27.09,6.34
26.55,-105.55,35.91,41.69,5.780000000000001
26.55,88.05,23.5,30.67,7.170000000000002
26.55,92.05,25.43,33.43,8.0
26.55,96.05,10.0,30.12,20.12
26.55,99.25,14.41,20.75,6.34
26.55,101.65,28.74,33.98,5.239999999999998
26.55,107.25,21.3,26.81,5.509999999999998
27.35,-107.15,25.98,35.08,9.099999999999998
27.35,-106.35,38.39,44.72,6.329999999999998
27.35,-105.55,37.01,45.0,7.990000000000002
27.35,-103.95,38.39,43.62,5.229999999999997
28.15,-109.55,31.77,38.39,6.620000000000001
28.15,-107.95,21.57,27.64,6.07
28.15,-107.15,27.64,38.39,10.75
28.15,-106.35,35.63,43.62,7.989999999999995
28.95,-109.55,29.29,37.83,8.54
28.95,-107.95,30.12,40.31,10.190000000000001
28.95,-107.15,27.64,36.46,8.82
28.95,-106.35,34.8,43.62,8.82
28.95,-96.75,31.5,37.28,5.780000000000001
28.95,-95.95,30.67,37.01,6.339999999999996
28.95,93.65,0.08,5.59,5.51
28.95,94.45,2.28,11.93,9.65
28.95,95.25,3.94,9.45,5.51
28.95,96.05,1.18,14.13,12.950000000000001
28.95,100.05,7.8,15.51,7.71
29.75,-111.15,38.66,43.9,5.240000000000002
29.75,-110.35,30.39,37.01,6.619999999999997
29.75,-107.95,32.05,41.42,9.370000000000005
29.75,-107.15,36.73,45.0,8.270000000000003
29.75,-106.35,39.49,45.0,5.509999999999998
29.75,-105.55,39.21,45.0,5.789999999999999
29.75,-95.95,31.22,36.46,5.240000000000002
29.75,-95.15,31.5,37.01,5.509999999999998
29.75,100.85,7.8,14.13,6.330000000000001
29.75,104.05,28.46,33.98,5.519999999999996
29.75,104.85,28.46,35.63,7.170000000000002
30.55,-109.55,33.43,39.21,5.780000000000001
30.55,-108.75,35.35,40.87,5.519999999999996
30.55,-103.95,39.21,45.0,5.789999999999999
30.55,-99.15,36.46,42.24,5.780000000000001
30.55,104.05,29.57,36.46,6.890000000000001
30.55,104.85,28.19,33.98,5.789999999999996
31.35,-111.15,35.91,43.35,7.440000000000005
31.35,-110.35,33.43,42.8,9.369999999999997
31.35,96.05,9.17,14.41,5.24
32.15,-110.35,39.49,45.0,5.509999999999998
32.15,-109.55,39.76,45.0,5.240000000000002
32.15,102.45,11.1,16.34,5.24
32.95,-110.35,37.28,43.07,5.789999999999999
32.95,-107.95,29.84,37.28,7.440000000000001
32.95,88.85,14.96,20.75,5.789999999999999
33.75,-109.55,23.5,30.67,7.170000000000002
33.75,-108.75,35.08,43.35,8.270000000000003
33.75,-107.95,37.01,45.0,7.990000000000002
33.75,100.85,14.41,20.2,5.789999999999999
34.55,-111.15,27.09,33.7,6.610000000000003
34.55,-107.95,36.46,44.17,7.710000000000001
34.55,-106.35,37.01,42.52,5.510000000000005
34.55,92.85,13.86,19.09,5.23
35.35,-111.95,30.94,36.18,5.239999999999998
35.35,-108.75,34.8,43.9,9.100000000000001
35.35,-107.95,39.49,45.0,5.509999999999998
35.35,90.45,12.2,17.72,5.52
35.35,91.25,8.07,15.51,7.4399999999999995
35.35,92.85,9.17,14.69,5.52
35.35,93.65,14.41,21.57,7.16
35.35,94.45,13.58,21.85,8.270000000000001
35.35,96.05,13.31,22.95,9.639999999999999
35.35,96.85,10.0,17.17,7.170000000000002
35.35,97.65,8.9,16.89,7.99
35.35,104.05,24.33,29.57,5.240000000000002
36.15,-108.75,38.94,44.45,5.510000000000005
36.15,-107.15,34.53,44.45,9.920000000000002
36.15,-106.35,34.53,40.87,6.339999999999996
36.15,80.05,5.87,13.03,7.159999999999999
36.15,80.85,21.3,28.46,7.16
36.15,81.65,8.07,14.96,6.890000000000001
36.15,84.05,17.44,24.33,6.889999999999997
36.15,92.05,9.72,19.37,9.65
36.15,92.85,12.76,20.2,7.4399999999999995
36.15,93.65,5.87,15.79,9.919999999999998
36.15,94.45,18.82,29.29,10.469999999999999
36.15,96.05,13.58,24.06,10.479999999999999
36.15,96.85,35.63,40.87,5.239999999999995
36.15,98.45,17.72,28.46,10.740000000000002
36.15,99.25,10.83,19.65,8.819999999999999
36.15,100.05,23.78,32.6,8.82
36.15,100.85,21.3,27.36,6.059999999999999
36.15,101.65,24.06,30.94,6.880000000000003
36.15,104.05,32.05,41.42,9.370000000000005
36.15,105.65,24.06,31.5,7.440000000000001
36.15,106.45,29.84,35.08,5.239999999999998
36.15,107.25,29.29,36.46,7.170000000000002
36.95,-107.15,32.32,38.39,6.07
36.95,78.45,21.57,28.46,6.890000000000001
36.95,84.05,23.23,29.02,5.789999999999999
36.95,84.85,8.07,15.24,7.17
36.95,86.45,6.14,11.93,5.79
36.95,89.65,19.65,27.64,7.990000000000002
36.95,90.45,29.57,35.63,6.060000000000002
36.95,92.05,26.54,36.46,9.920000000000002
36.95,96.85,38.66,45.0,6.340000000000003
36.95,97.65,21.57,33.43,11.86
36.95,98.45,24.33,34.25,9.920000000000002
36.95,99.25,13.03,19.09,6.0600000000000005
36.95,100.85,21.3,29.29,7.989999999999998
36.95,102.45,20.47,26.54,6.07
36.95,103.25,24.33,39.21,14.880000000000003
36.95,104.05,36.18,41.97,5.789999999999999
36.95,107.25,30.12,38.94,8.819999999999997
36.95,108.05,29.02,37.01,7.989999999999998
37.75,-112.75,25.43,31.5,6.07
37.75,-111.95,28.74,34.8,6.059999999999999
37.75,-109.55,32.87,38.39,5.520000000000003
37.75,-107.95,15.79,22.13,6.34
37.75,-107.15,22.95,32.87,9.919999999999998
37.75,86.45,13.86,19.65,5.789999999999999
37.75,87.25,25.71,33.98,8.269999999999996
37.75,88.05,12.2,17.44,5.240000000000002
37.75,88.85,16.89,27.09,10.2
37.75,89.65,20.47,29.57,9.100000000000001
37.75,90.45,10.28,17.44,7.160000000000002
37.75,91.25,38.94,44.17,5.230000000000004
37.75,95.25,26.54,36.46,9.920000000000002
37.75,96.05,16.61,35.91,19.299999999999997
37.75,96.85,12.48,21.57,9.09
37.75,98.45,17.72,24.06,6.34
37.75,101.65,19.92,25.71,5.789999999999999
37.75,102.45,31.77,39.49,7.720000000000002
37.75,108.05,31.22,37.83,6.609999999999999
37.75,109.65,30.12,38.39,8.27
37.75,113.65,28.46,34.53,6.07
37.75,118.45,29.57,34.8,5.229999999999997
38.55,70.45,18.27,24.88,6.609999999999999
38.55,88.85,26.54,35.91,9.369999999999997
38.55,89.65,31.22,39.49,8.270000000000003
38.55,90.45,18.82,29.29,10.469999999999999
38.55,91.25,33.15,38.39,5.240000000000002
38.55,94.45,38.94,45.0,6.060000000000002
38.55,95.25,20.75,38.94,18.189999999999998
38.55,96.05,21.85,37.83,15.979999999999997
38.55,96.85,14.13,25.98,11.85
38.55,98.45,12.76,20.75,7.99
38.55,99.25,16.61,23.23,6.620000000000001
38.55,100.05,17.44,24.61,7.169999999999998
38.55,100.85,32.32,37.83,5.509999999999998
38.55,101.65,35.63,40.87,5.239999999999995
38.55,106.45,27.91,33.98,6.069999999999997
38.55,107.25,34.8,41.42,6.6200000000000045
39.35,45.65,32.87,38.66,5.789999999999999
39.35,92.85,33.98,44.45,10.470000000000006
39.35,93.65,8.9,25.43,16.53
39.35,94.45,19.65,30.67,11.020000000000003
39.35,95.25,24.88,36.73,11.849999999999998
39.35,96.05,22.13,36.18,14.05
39.35,96.85,14.96,30.12,15.16
39.35,97.65,14.69,22.95,8.26
39.35,98.45,15.51,23.78,8.270000000000001
39.35,107.25,35.08,43.9,8.82
39.35,108.05,33.15,40.59,7.440000000000005
40.15,-123.15,28.46,35.63,7.170000000000002
40.15,108.05,37.83,43.35,5.520000000000003
40.95,73.65,25.71,30.94,5.23
40.95,109.65,29.84,35.63,5.790000000000003
40.95,116.85,27.91,33.7,5.790000000000003
41.75,96.05,38.11,45.0,6.890000000000001
41.75,108.05,32.6,40.04,7.439999999999998
41.75,108.85,29.02,36.18,7.16
41.75,109.65,27.64,35.35,7.710000000000001
42.55,-120.75,29.29,39.76,10.469999999999999
42.55,73.65,15.79,21.3,5.510000000000002
42.55,75.25,18.82,24.61,5.789999999999999
42.55,86.45,18.54,24.61,6.07
42.55,116.85,27.91,33.43,5.52
42.55,117.65,23.78,29.02,5.239999999999998
42.55,119.25,32.6,37.83,5.229999999999997
43.35,-123.15,24.06,30.94,6.880000000000003
43.35,46.45,32.05,37.83,5.780000000000001
43.35,80.05,21.85,28.74,6.889999999999997
43.35,80.85,18.82,24.88,6.059999999999999
43.35,81.65,23.23,28.74,5.509999999999998
43.35,83.25,29.02,37.01,7.989999999999998
43.35,87.25,19.09,26.26,7.170000000000002
43.35,90.45,30.39,37.01,6.619999999999997
43.35,100.85,39.49,44.72,5.229999999999997
43.35,112.05,37.01,42.24,5.230000000000004
43.35,113.65,33.98,39.49,5.510000000000005
43.35,116.05,30.94,36.46,5.52
44.15,-123.15,29.57,35.08,5.509999999999998
44.15,-122.35,22.13,29.29,7.16
44.15,81.65,26.81,33.15,6.34
44.15,84.05,17.72,24.61,6.890000000000001
44.15,92.05,38.94,45.0,6.060000000000002
44.15,115.25,29.57,36.18,6.609999999999999
44.15,117.65,27.36,33.15,5.789999999999999
44.95,-123.15,28.46,34.53,6.07
44.95,-122.35,20.47,25.98,5.510000000000002
44.95,75.25,39.49,45.0,5.509999999999998
44.95,80.85,26.26,31.5,5.239999999999998
44.95,97.65,30.67,36.18,5.509999999999998
44.95,98.45,32.05,37.28,5.230000000000004
44.95,115.25,29.57,36.46,6.890000000000001
45.75,-118.35,30.12,36.18,6.059999999999999
45.75,74.45,30.67,37.01,6.339999999999996
45.75,80.85,27.36,33.98,6.619999999999997
45.75,81.65,33.15,38.39,5.240000000000002
45.75,83.25,34.53,40.87,6.339999999999996
45.75,96.05,28.74,34.25,5.510000000000002
45.75,109.65,35.91,41.14,5.230000000000004
45.75,110.45,32.87,40.04,7.170000000000002
45.75,111.25,32.05,38.94,6.890000000000001
45.75,112.85,32.05,37.28,5.230000000000004
46.55,-117.55,37.56,43.07,5.509999999999998
46.55,6.45,24.06,29.57,5.510000000000002
46.55,71.25,39.76,45.0,5.240000000000002
46.55,110.45,29.29,35.08,5.789999999999999
46.55,114.45,28.19,35.63,7.440000000000001
46.55,116.85,29.02,34.25,5.23
47.35,-117.55,33.7,40.31,6.609999999999999
47.35,4.85,22.4,27.91,5.510000000000002
47.35,72.05,36.73,44.17,7.440000000000005
47.35,72.85,35.63,43.35,7.719999999999999
47.35,73.65,35.63,44.17,8.54
47.35,74.45,38.39,43.9,5.509999999999998
47.35,75.25,37.28,44.45,7.170000000000002
47.35,76.05,36.73,44.17,7.440000000000005
47.35,76.85,37.83,44.72,6.890000000000001
47.35,77.65,38.66,45.0,6.340000000000003
47.35,82.45,30.39,37.28,6.890000000000001
47.35,83.25,32.87,40.87,8.0
47.35,84.05,35.91,41.14,5.230000000000004
47.35,84.85,28.46,34.25,5.789999999999999
47.35,88.85,37.28,42.8,5.519999999999996
47.35,97.65,25.43,33.7,8.270000000000003
47.35,111.25,28.74,35.91,7.169999999999998
47.35,113.65,29.84,36.18,6.34
47.35,114.45,30.39,36.46,6.07
48.15,-119.15,36.18,41.42,5.240000000000002
48.15,-116.75,24.61,30.12,5.510000000000002
48.15,72.05,36.73,42.52,5.790000000000006
48.15,72.85,36.18,43.35,7.170000000000002
48.15,73.65,34.53,43.9,9.369999999999997
48.15,74.45,33.43,42.8,9.369999999999997
48.15,75.25,32.6,42.24,9.64
48.15,76.05,34.8,43.9,9.100000000000001
48.15,76.85,33.98,41.42,7.440000000000005
48.15,79.25,33.15,39.49,6.340000000000003
48.15,80.05,34.25,41.14,6.890000000000001
48.15,80.85,36.46,41.69,5.229999999999997
48.15,81.65,34.8,40.59,5.790000000000006
48.15,89.65,25.98,31.5,5.52
48.15,98.45,17.17,22.68,5.509999999999998
48.15,112.05,28.46,34.53,6.07
48.15,112.85,30.67,37.28,6.609999999999999
48.15,113.65,30.67,36.73,6.059999999999995
48.15,114.45,30.12,37.01,6.889999999999997
48.95,-111.15,29.02,35.35,6.330000000000002
48.95,6.45,22.95,29.57,6.620000000000001
48.95,9.65,20.75,26.26,5.510000000000002
48.95,10.45,22.95,29.84,6.890000000000001
48.95,72.85,34.8,40.87,6.07
48.95,73.65,31.77,41.97,10.2
48.95,74.45,31.22,40.31,9.090000000000003
48.95,75.25,29.84,37.28,7.440000000000001
48.95,76.05,29.57,37.28,7.710000000000001
48.95,76.85,31.5,40.59,9.090000000000003
48.95,77.65,33.98,40.59,6.6100000000000065
48.95,78.45,31.22,37.83,6.609999999999999
48.95,80.85,35.91,41.97,6.060000000000002
48.95,116.05,29.02,36.18,7.16
49.75,-111.15,30.94,36.46,5.52
49.75,-110.35,28.19,33.43,5.239999999999998
49.75,-107.15,29.57,35.08,5.509999999999998
49.75,10.45,22.68,28.19,5.510000000000002
49.75,12.05,20.47,26.26,5.790000000000003
49.75,72.85,36.46,41.69,5.229999999999997
49.75,73.65,32.87,40.59,7.720000000000006
49.75,74.45,32.6,42.8,10.199999999999996
49.75,75.25,31.22,37.28,6.060000000000002
49.75,76.05,30.39,41.14,10.75
49.75,76.85,32.05,40.87,8.82
49.75,77.65,35.35,40.59,5.240000000000002
49.75,78.45,36.18,43.07,6.890000000000001
49.75,81.65,32.87,38.94,6.07
49.75,95.25,33.15,40.59,7.440000000000005
49.75,114.45,28.19,34.8,6.609999999999996
50.55,-123.95,11.1,16.61,5.51
50.55,-114.35,22.4,29.29,6.890000000000001
50.55,-113.55,24.88,33.43,8.55
50.55,-112.75,29.29,35.91,6.619999999999997
50.55,-111.95,31.22,37.28,6.060000000000002
50.55,-111.15,32.87,38.94,6.07
50.55,-74.35,19.92,27.91,7.989999999999998
50.55,8.85,22.95,28.46,5.510000000000002
50.55,11.25,19.92,25.43,5.509999999999998
50.55,74.45,33.98,39.21,5.230000000000004
50.55,75.25,33.15,40.87,7.719999999999999
50.55,76.05,35.91,41.14,5.230000000000004
50.55,76.85,35.91,42.8,6.890000000000001
51.35,-126.35,9.72,18.27,8.549999999999999
51.35,-112.75,25.16,30.94,5.780000000000001
51.35,-111.95,28.46,34.25,5.789999999999999
51.35,-111.15,28.19,35.63,7.440000000000001
51.35,-106.35,27.36,33.7,6.340000000000003
51.35,13.65,22.95,28.19,5.240000000000002
52.15,142.45,18.27,24.88,6.609999999999999
52.95,-75.95,20.2,31.5,11.3
52.95,-75.15,20.75,30.12,9.370000000000001
52.95,-74.35,20.47,25.98,5.510000000000002
52.95,-73.55,16.61,26.81,10.2
52.95,-67.95,15.51,22.13,6.619999999999999
52.95,-67.15,16.61,22.13,5.52
52.95,-64.75,16.34,22.4,6.059999999999999
53.75,-127.95,11.1,17.72,6.619999999999999
53.75,-67.95,15.51,21.57,6.0600000000000005
53.75,107.25,18.54,24.61,6.07
54.55,-129.55,10.0,17.99,7.989999999999998
54.55,-67.15,18.27,23.78,5.510000000000002
54.55,-58.35,18.82,24.06,5.239999999999998
55.35,-130.35,12.76,18.82,6.0600000000000005
55.35,-124.75,16.89,23.23,6.34
55.35,-75.95,19.37,26.54,7.169999999999998
55.35,-68.75,17.17,23.78,6.609999999999999
55.35,-66.35,15.24,20.47,5.229999999999999
55.35,-65.55,17.99,23.5,5.510000000000002
55.35,-64.75,17.44,22.95,5.509999999999998
55.35,114.45,17.17,22.68,5.509999999999998
55.35,133.65,21.3,27.64,6.34
55.35,136.05,20.2,25.71,5.510000000000002
56.15,-131.15,9.17,18.54,9.37
